127.0.0.1, 2019-08-02 14:47:14, GET, /admin/default/ticket/autorizador/127.0.0.1.2019-08-02.14-47-09.a15bc0b3-4f6c-48f0-bbec-b0bf0ec83b30, HTTP/1.1, 200, 0.036206
127.0.0.1, 2019-08-02 14:47:14, GET, /admin/static/_2.18.5/images/help.png, HTTP/1.1, 200, 0.000316
127.0.0.1, 2019-08-02 14:47:57, GET, /painel/teste2, HTTP/1.1, 500, 0.046803
127.0.0.1, 2019-08-02 14:47:57, GET, /favicon.ico, HTTP/1.1, 404, 0.000262
127.0.0.1, 2019-08-02 14:47:59, GET, /admin/default/ticket/autorizador/127.0.0.1.2019-08-02.14-47-57.4c292780-70fe-4525-a4c0-e027c6daef55, HTTP/1.1, 200, 0.025017
127.0.0.1, 2019-08-02 14:47:59, GET, /admin/static/_2.18.5/css/calendar.css, HTTP/1.1, 200, 0.000476
127.0.0.1, 2019-08-02 14:49:01, POST, /painel/teste2, HTTP/1.1, 200, 0.013439
127.0.0.1, 2019-08-02 14:49:49, POST, /painel/teste2, HTTP/1.1, 200, 0.007078
127.0.0.1, 2019-08-02 14:50:00, POST, /painel/teste2, HTTP/1.1, 200, 0.007124
127.0.0.1, 2019-08-02 14:50:21, GET, /painel/teste2, HTTP/1.1, 200, 0.008831
127.0.0.1, 2019-08-02 14:51:04, POST, /painel/teste2, HTTP/1.1, 200, 0.007669
127.0.0.1, 2019-08-02 15:20:38, POST, /usuarios/cadastra_usuario, HTTP/1.1, 200, 0.052905
127.0.0.1, 2019-08-02 15:22:55, GET, /, HTTP/1.1, 200, 0.013112
127.0.0.1, 2019-08-02 15:22:55, GET, /autorizador/static/images/visie.svg, HTTP/1.1, 304, 0.000822
127.0.0.1, 2019-08-02 15:22:55, GET, /autorizador/static/images/visie.gif, HTTP/1.1, 200, 0.000543
127.0.0.1, 2019-08-02 15:22:59, GET, /admin/, HTTP/1.1, 303, 0.067423
127.0.0.1, 2019-08-02 15:22:59, GET, /admin/default, HTTP/1.1, 200, 0.018169
127.0.0.1, 2019-08-02 15:22:59, GET, /admin/static/_2.18.5/css/calendar.css, HTTP/1.1, 200, 0.000305
127.0.0.1, 2019-08-02 15:23:01, POST, /admin/default, HTTP/1.1, 303, 0.005738
